refcode	metal	charge_cell2mol	charge_BVS	dictionary	unique_indices
AQEFEH	Cu	9999	7777	{1: 0.000593, 2: 0.127189, 3: 1.101709}	4
AQEFIL	Cu	1	7777	{1: 0.001133, 2: 0.101948, 3: 1.076124}	2
AQENAM	Cu	2	7777	{1: 0.105382, 2: 0.000706, 3: 0.770557}	2
AQEWIE	Cu	2	7777	{1: 0.240709, 2: 4e-05, 3: 0.457758}	2
AQEZAZ	Cu	2	7777	{1: 0.240944, 2: 7e-06, 3: 0.457601}	2
AQIBEH	Cu	1	1	{1: 0.051564, 2: 0.556918, 3: 9999}	2
AQICIM	Cu	1	7777	{1: 0.040307, 2: 0.262147, 3: 9999}	4
AQINUK	Cu	9999	7777	{1: 0.006415, 2: 0.000534, 3: 0.86252}	2
AQITOJ	Cu	2	7777	{1: 0.291697, 2: 0.000514, 3: 0.559196}	1
AQITUP	Cu	2	7777	{1: 0.248761, 2: 6e-06, 3: 0.494116}	2
AQIWIG	Cu	1	7777	{1: 0.005176, 2: 0.050988, 3: 9999}	2
AQOGOD	Cu	2	7777	{1: 0.143056, 2: 4.3e-05, 3: 0.562537}	2
AQOXCU	Cu	2	7777	{1: 0.205654, 2: 2.9e-05, 3: 0.642943}	4
AQOXIO	Cu	2	7777	{1: 0.343757, 2: 0.000173, 3: 0.451644}	1
AQPYCU	Cu	2	7777	{1: 0.269484, 2: 1e-06, 3: 0.457797}	4
