refcode	metal	charge_cif
BEXBAJ	Cu	2
BEXBOY	Cu	2
BEXXEI	Cu	2
BEYBUD	Cu	1
BEYMAU	Cu	2
BEYPUQ	Cu	2
BEYRAY	Cu	2
BEYWOU	Cu	2
BEZLIB	Cu	2
BEZMAW	Cu	2
BEZQIJ	Cu	2
BEZVEJ	Cu	2
BEZXAH	Cu	2
BEZXOV	Cu	2
BEZZIQ	Cu	2
BEZZOW	Cu	2
BEZZUC	Cu	2
BGCUCB	Cu	2
BHEDCB	Cu	2
BHTPCU13	Cu	1
BIBCEW	Cu	2
BIBCIA	Cu	2
BIBHEA	Cu	2
BIBPIM	Cu	1
BIBPUY	Cu	1
BIBTUB	Cu	2
BICGOK	Cu	2
BICLOP	Cu	2
BICLUV	Cu	2
BICPEK	Cu	2
BICPIO	Cu	2
BIDCEX	Cu	2
BIDGON	Cu	2
BIDGUT	Cu	2
BIDYOC	Cu	2
BIFSIT	Cu	2
BIFVOE	Cu	2
BIFWAR	Cu	2
BIFYOH	Cu	2
BIGHUX	Cu	2
BIGTOA	Cu	2
BIGWAP	Cu	2
BIGYOF	Cu	2
BIHTET	Cu	2
BIHTIX	Cu	2
BIHTOD	Cu	2
BIHVEV	Cu	2
BIJQUI	Cu	2
BIJTOF	Cu	2
BIJWUM	Cu	2
BIJYAV	Cu	1
BIJYEZ	Cu	2
BIKBOM	Cu	2
BIKDIL	Cu	2
BIKHAG	Cu	2
BIKMUF	Cu	2
BILLEN	Cu	1
BILNIV	Cu	2
BILSIZ	Cu	2
BILWUQ	Cu	2
BILYUQ	Cu	1
BIMSOG	Cu	2
BIMVOJ	Cu	2
BIMXUT	Cu	1
BINLAM	Cu	2
BINLUH	Cu	2
BINQUM	Cu	2
BINRUL	Cu	2
BIPBAE	Cu	2
BIPHEO	Cu	1
BIPJIU	Cu	2
BIPMEU	Cu	2
BIPNAP	Cu	2
BIPQUM	Cu	2
BIPREZ	Cu	2
BIPRID	Cu	2
BIPSUO	Cu	0
BIQMOF	Cu	2
BIQMUL	Cu	2
BIQVUV	Cu	2
BIQYOS	Cu	2
BIQZAC	Cu	2
BIRBIP	Cu	2
BIRVUT	Cu	2
BIRVUW	Cu	2
BISLOH	Cu	1
BISLUN	Cu	1
BISWUV	Cu	2
BITDIT	Cu	1
BIVCUE	Cu	2
BIVTUY	Cu	2
BIVXAF	Cu	2
BIWKEY	Cu	1
BIWLAV	Cu	2
BIWWAI	Cu	2
BIXBIU	Cu	2
BIXMEA	Cu	2
BIXYUC	Cu	2
BIYKAX	Cu	2
BIYPAD	Cu	2
BIYXIR	Cu	1
BIYYEO	Cu	2
BIZBAO	Cu	2
BIZBUI	Cu	2
BIZCAP	Cu	2
BIZCOD	Cu	2
BIZGIB	Cu	2
BIZGOH	Cu	1
BMIMCU	Cu	2
BOBHAB	Cu	2
BOBHIM	Cu	1
BOCDIJ	Cu	2
BOCRES	Cu	2
BODCUS	Cu	2
BODDED	Cu	2
BODDIH	Cu	2
BODDUT	Cu	2
BODPES	Cu	1
BODPOA	Cu	2
BODQAN	Cu	2
BODTOG	Cu	2
BODXAU	Cu	2
BODXEY	Cu	2
BODZAW	Cu	2
BOFDOR	Cu	1
BOFKAK	Cu	2
BOFPUJ	Cu	2
BOFSOF	Cu	2
BOFVIC	Cu	2
BOGCIK	Cu	2
BOGHAH	Cu	2
BOGKOY	Cu	2
BOHLOA	Cu	2
BOHLUG	Cu	2
BOHYOO	Cu	2
BOHZAB	Cu	2
BOHZEF	Cu	2
BOHZIJ	Cu	2
BOJBAF	Cu	2
BOJBEJ	Cu	2
BOJKIV	Cu	2
BOJKOB	Cu	2
BOJKUH	Cu	2
BOJLIX	Cu	1
BOJNUJ	Cu	2
BOKBEI	Cu	2
BOKWAZ	Cu	2
BOLDUB	Cu	2
BOLKES	Cu	2
BOLMOG	Cu	2
BOLTAX	Cu	2
BOLTII	Cu	2
BOLTOO	Cu	2
BOLVAZ	Cu	2
BOMCEL	Cu	1
BOMFUE	Cu	1
BOMFUH	Cu	2
BOMJES	Cu	1
BONCUD	Cu	1
BONDEO	Cu	1
BONDIS	Cu	1
BONDOY	Cu	1
BONNUN	Cu	2
BONYOS	Cu	2
BONZAG	Cu	2
BONZEK	Cu	2
BONZIN	Cu	2
BOPBAK	Cu	2
BOPCOZ	Cu	1
BOPXIO	Cu	2
BOPXOU	Cu	2
BOPZIQ	Cu	2
BOPZOW	Cu	2
BOPZUB	Cu	2
BOQBOA	Cu	2
BOQHAS	Cu	1
BOQJOH	Cu	1
BOQPUT	Cu	2
BORNIH	Cu	2
BORPIJ	Cu	2
BOSDUK	Cu	2
BOSMIF	Cu	2
BOSYUF	Cu	1
BOTBUH11	Cu	2
BOTJUQ	Cu	2
BOTXIT	Cu	2
BOVNOP	Cu	2
BOVQEJ	Cu	2
BOVSEL	Cu	2
BOWVIU	Cu	2
BOXVUI	Cu	2
BOYCUN	Cu	2
BOYWEU	Cu	2
BOYWUJ	Cu	2
BOZSIU	Cu	2
BPACUA12	Cu	2
BPCUDT	Cu	2
BPFCUM	Cu	2
BPFMCU	Cu	2
BPIMAC	Cu	2
BPNCUA	Cu	2
BPPCUH	Cu	2
BPYCUA	Cu	2
BPYCUB	Cu	2
BPYRCV	Cu	2
BRADCU	Cu	2
BRMPCU	Cu	2
BSALCU11	Cu	2
BSMETC	Cu	2
BSTACU	Cu	2
BTPCUB	Cu	1
BUBCIK	Cu	2
BUBWUS	Cu	2
BUCDAG	Cu	2
BUCDEK	Cu	2
BUCDOU	Cu	2
BUCFAG	Cu	2
BUCGUB	Cu	1
BUCKUF	Cu	1
BUDHAK	Cu	2
BUDHIS	Cu	2
BUDHUF	Cu	2
BUDJES	Cu	2
BUDWAA	Cu	2
BUFBOT	Cu	3
BUFQOJ	Cu	1
BUFSOM	Cu	2
BUGBAI	Cu	2
BUGCIQ	Cu	2
BUGPEA	Cu	2
BUGPIE	Cu	2
BUGPOK	Cu	2
BUGPUQ	Cu	2
BUGSED	Cu	2
BUGTIG	Cu	2
BUGZIO	Cu	2
BUHFEP	Cu	2
BUJJOF	Cu	2
BUJLOH	Cu	2
BUJRAZ	Cu	2
BUJSOP	Cu	2
BUJYOV	Cu	2
BUJZAI	Cu	2
BUJZEM	Cu	2
BUJZIQ	Cu	2
BUKCAM	Cu	2
BUKFAP	Cu	1
BUKPOM	Cu	2
BUKPUS	Cu	2
BUKQEE	Cu	2
BULFEV	Cu	2
BULMOL	Cu	2
BULQAA	Cu	2
BULQUV	Cu	2
BULZEO	Cu	2
BUNKOM	Cu	2
BUNVIR	Cu	2
BUNWEM	Cu	2
BUNZIU	Cu	2
BUNZOA	Cu	2
BUPCEV	Cu	2
BUPSEL	Cu	2
BUQLIJ	Cu	2
BUQLOP	Cu	2
BUQLUV	Cu	2
BUQMAC	Cu	2
BUQMAD	Cu	2
BUQREM	Cu	2
BUQRUC	Cu	2
BUQVOA	Cu	2
BUQYIX	Cu	2
BUQYOD	Cu	2
BUQYUI	Cu	2
BUQYUJ	Cu	2
BURDIC	Cu	2
BURDOI	Cu	2
BURSEO	Cu	2
BURSOY	Cu	2
BURVOA	Cu	2
BUTMAF	Cu	2
BUTMEJ	Cu	2
BUTMIN	Cu	2
BUTMOT	Cu	2
BUTMUZ	Cu	2
BUTNAG	Cu	2
BUTNEK	Cu	2
BUTYUK	Cu	2
BUTZEV	Cu	2
BUVSIV	Cu	2
BUVTIY	Cu	2
BUWBUS	Cu	2
BUWFAC	Cu	2
BUWGOQ	Cu	3
BUWGUW	Cu	3
BUWHAD	Cu	3
BUWHEH	Cu	3
BUWJAG	Cu	1
BUWQOB	Cu	2
BUWTOE	Cu	2
BUWVOE	Cu	2
BUWVUK	Cu	2
BUWWOF	Cu	2
BUXCAY	Cu	2
BUXDIH	Cu	2
BUXDUT	Cu	2
BUXJAG	Cu	1
BUXKOW	Cu	2
BUXLOV	Cu	2
BUXMIS	Cu	2
BUXNEN	Cu	1
BUXVOH	Cu	2
BUXYEZ	Cu	1
BUXYOJ	Cu	2
BUXZUP	Cu	1
